subj_id,fields,sigma_rim,sigma_gt,acc_factor
31,s031ventl,0.748223082983997,0.668384229267401,9
31,s031ventr,0.728535375031602,0.743055042986988,9
31,s031vent4,NaN,NaN,9
31,s031thal,1.22071404196959,1.13170878757535,9
31,s031thar,1.47957558966848,1.41936543528731,9
31,s031strl,0.956151995288411,0.921454026177274,9
31,s031strr,1.24569162379827,1.09582073808522,9
31,s031gpl,1.17169461766388,1.12396654969564,9
31,s031gpr,1.19549877778333,1.22127920654632,9
